accuracy,loss,val_accuracy,val_loss,learning_rate
0.6991533041000366,0.8383114337921143,0.8928372859954834,0.4017447531223297,0.0010000000474974513
0.8407494425773621,0.42809534072875977,0.9533592462539673,0.19835664331912994,0.0010000000474974513
0.8782201409339905,0.32148027420043945,0.9550249576568604,0.16748496890068054,0.0010000000474974513
0.8870473504066467,0.28808945417404175,0.96335369348526,0.13339370489120483,0.0010000000474974513
0.9056025743484497,0.23961439728736877,0.9594669342041016,0.14750191569328308,0.0010000000474974513
0.9138894081115723,0.21952439844608307,0.9627984166145325,0.1312144547700882,0.0010000000474974513
0.9191136956214905,0.19966159760951996,0.9528039693832397,0.13271169364452362,0.0010000000474974513
0.9214556217193604,0.19460026919841766,0.9611327052116394,0.1160329058766365,0.0010000000474974513
0.9268600344657898,0.17610135674476624,0.9528039693832397,0.12261858582496643,0.0010000000474974513
0.9297423958778381,0.1720302253961563,0.9589117169380188,0.12601371109485626,0.0010000000474974513
0.9277607798576355,0.17078645527362823,0.9622431993484497,0.11531846970319748,0.0010000000474974513
0.9329850673675537,0.16248303651809692,0.9583564400672913,0.10748393833637238,0.0010000000474974513
0.935687243938446,0.15831626951694489,0.9639089107513428,0.10564380884170532,0.0010000000474974513
0.9351468086242676,0.15682412683963776,0.9616879224777222,0.12010592222213745,0.0010000000474974513
0.9365879893302917,0.1519135981798172,0.9578012228012085,0.12710729241371155,0.0010000000474974513
0.9403710961341858,0.1435137391090393,0.9583564400672913,0.13059988617897034,0.0010000000474974513
0.9378490447998047,0.14473484456539154,0.9589117169380188,0.1111588180065155,0.0010000000474974513
0.9392902255058289,0.14219292998313904,0.9594669342041016,0.11454261839389801,0.0010000000474974513
0.9473968744277954,0.13145038485527039,0.96335369348526,0.10852774977684021,0.0005000000237487257
0.9432534575462341,0.13405929505825043,0.9650194048881531,0.10292591899633408,0.0005000000237487257
0.9472166895866394,0.1272670030593872,0.9650194048881531,0.11468922346830368,0.0005000000237487257
0.9428931474685669,0.12840521335601807,0.9655746817588806,0.1092962920665741,0.0005000000237487257
0.950459361076355,0.12255725264549255,0.9627984166145325,0.1178012490272522,0.0005000000237487257
0.9486578702926636,0.1214006096124649,0.9600222110748291,0.12045436352491379,0.0005000000237487257
0.9450549483299255,0.1233227401971817,0.9622431993484497,0.11254683881998062,0.0005000000237487257
0.9491983652114868,0.11372776329517365,0.9666851758956909,0.10949091613292694,0.0002500000118743628
0.9551432132720947,0.10964146256446838,0.9666851758956909,0.11501289159059525,0.0002500000118743628
0.9520807266235352,0.11409399658441544,0.9655746817588806,0.11699116975069046,0.0002500000118743628
0.9517204165458679,0.11438899487257004,0.9644641876220703,0.11748290061950684,0.0002500000118743628
0.9524409770965576,0.11397130787372589,0.9655746817588806,0.11995711177587509,0.0002500000118743628
